timestamp,vibration_g,strain_microstrain,temperature_c,displacement_mm,damage_class
2025-01-01 00:00:00,0.08504,182.172,12.366,1.2507,0
2025-01-01 01:00:00,0.09276,184.657,10.956,1.2594,0
2025-01-01 02:00:00,0.0854,190.542,13.704,1.1984,0
2025-01-01 03:00:00,0.10961,184.429,14.886,1.2153,0
2025-01-01 04:00:00,0.10249,189.452,,1.3528,0
2025-01-01 05:00:00,0.08902,198.371,14.884,1.4401,0
2025-01-01 06:00:00,0.10283,248.366,18.153,1.6774,0
2025-01-01 07:00:00,0.12827,281.12,19.173,2.1659,0
2025-01-01 08:00:00,0.11994,305.139,20.98,2.1942,0
2025-01-01 09:00:00,0.13663,280.068,21.219,2.2113,0
2025-01-01 10:00:00,0.11098,263.009,24.251,1.8873,0
2025-01-01 11:00:00,0.0958,220.08,24.729,1.6722,0
2025-01-01 12:00:00,0.0937,213.428,24.079,1.4947,0
2025-01-01 13:00:00,0.10416,203.001,25.148,1.2809,0
2025-01-01 14:00:00,0.08751,206.764,23.757,1.4159,0
2025-01-01 15:00:00,0.09137,229.801,21.211,1.5858,0
2025-01-01 16:00:00,0.12475,258.208,21.443,1.8721,0
2025-01-01 17:00:00,0.13424,291.16,18.402,1.9339,0
2025-01-01 18:00:00,0.12615,311.572,19.054,2.2115,0
2025-01-01 19:00:00,0.12269,275.396,16.387,1.9571,0
2025-01-01 20:00:00,0.10899,249.677,14.778,1.7617,0
2025-01-01 21:00:00,0.09705,196.68,12.94,1.47,0
2025-01-01 22:00:00,0.06906,196.15,14.271,1.4219,0
2025-01-01 23:00:00,0.06423,178.154,12.019,1.3687,0
2025-01-02 00:00:00,0.07135,173.103,11.658,1.3016,0
2025-01-02 01:00:00,0.07044,183.021,11.954,1.3384,0
2025-01-02 02:00:00,0.07439,188.728,13.615,1.2683,0
2025-01-02 03:00:00,0.09036,191.539,14.368,1.5444,0
2025-01-02 04:00:00,0.08331,195.895,15.667,1.2859,0
2025-01-02 05:00:00,0.09507,215.076,17.136,1.4923,0
2025-01-02 06:00:00,0.09195,256.369,20.742,1.9045,0
2025-01-02 07:00:00,0.11709,287.841,19.237,2.1498,0
2025-01-02 08:00:00,0.13705,308.619,20.557,2.2774,0
2025-01-02 09:00:00,0.12977,291.864,21.438,2.1766,0
2025-01-02 10:00:00,0.09795,265.334,24.107,1.7162,0
2025-01-02 11:00:00,0.09466,221.743,25.322,1.7846,0
2025-01-02 12:00:00,0.11184,211.659,24.035,1.4947,0
2025-01-02 13:00:00,0.08328,197.461,22.96,1.5601,0
2025-01-02 14:00:00,0.07714,210.628,22.379,1.3234,0
2025-01-02 15:00:00,0.09064,236.891,23.195,1.6461,0
2025-01-02 16:00:00,0.10775,253.142,22.064,1.8072,0
2025-01-02 17:00:00,0.12082,289.175,20.377,2.1525,0
2025-01-02 18:00:00,0.12962,303.223,17.374,2.216,0
2025-01-02 19:00:00,0.10531,268.699,16.898,2.0838,0
2025-01-02 20:00:00,0.09509,238.672,15.312,1.6662,0
2025-01-02 21:00:00,0.09092,210.288,14.192,1.4858,0
2025-01-02 22:00:00,0.08335,173.768,14.022,1.3443,0
2025-01-02 23:00:00,0.07595,176.568,12.645,1.3323,0
2025-01-03 00:00:00,0.07988,188.441,13.159,1.3665,0
2025-01-03 01:00:00,0.08275,186.771,12.63,1.2917,0
2025-01-03 02:00:00,0.09279,185.053,13.495,1.1924,0
2025-01-03 03:00:00,0.08155,192.372,14.859,1.3345,0
2025-01-03 04:00:00,0.09012,191.546,13.596,1.5612,0
2025-01-03 05:00:00,0.08621,216.087,16.408,1.6552,0
2025-01-03 06:00:00,0.11351,245.093,17.78,1.55,0
2025-01-03 07:00:00,0.12714,286.489,19.13,2.0931,0
2025-01-03 08:00:00,0.14039,302.535,21.014,2.3198,0
2025-01-03 09:00:00,0.13119,304.401,24.381,2.1522,0
2025-01-03 10:00:00,0.11371,266.034,22.501,1.822,0
2025-01-03 11:00:00,0.09154,239.742,25.302,1.6358,0
2025-01-03 12:00:00,0.08839,206.405,22.325,1.5295,0
2025-01-03 13:00:00,0.09625,201.676,23.738,1.3802,0
2025-01-03 14:00:00,0.07763,219.479,23.736,1.6016,0
2025-01-03 15:00:00,0.08518,230.502,23.29,1.6225,0
2025-01-03 16:00:00,0.10882,258.238,22.198,1.7795,0
2025-01-03 17:00:00,0.12761,285.602,,2.2037,0
2025-01-03 18:00:00,0.12011,302.398,17.926,2.0753,0
2025-01-03 19:00:00,0.12173,273.205,16.236,2.0002,0
2025-01-03 20:00:00,0.10552,247.838,16.374,1.7211,0
2025-01-03 21:00:00,0.06613,215.703,13.872,1.657,0
2025-01-03 22:00:00,0.0827,195.887,11.617,1.2678,0
2025-01-03 23:00:00,0.08086,183.622,11.189,1.0985,0
2025-01-04 00:00:00,0.08008,169.877,11.413,1.2147,0
2025-01-04 01:00:00,0.099,183.381,13.317,1.3264,0
2025-01-04 02:00:00,0.06753,195.637,13.491,1.3572,0
2025-01-04 03:00:00,0.07285,182.377,15.102,1.5117,0
2025-01-04 04:00:00,0.05399,192.856,15.003,1.486,0
2025-01-04 05:00:00,0.08694,222.802,17.154,1.5498,0
2025-01-04 06:00:00,0.1019,253.812,19.267,1.739,0
2025-01-04 07:00:00,0.11651,301.867,19.698,2.2264,0
2025-01-04 08:00:00,0.14329,304.138,22.064,2.2315,0
2025-01-04 09:00:00,0.13296,285.807,21.965,2.0779,0
2025-01-04 10:00:00,0.10758,265.877,23.277,1.8371,0
2025-01-04 11:00:00,0.08828,221.246,23.854,1.5353,0
2025-01-04 12:00:00,0.09777,209.262,23.081,1.4595,0
2025-01-04 13:00:00,0.08325,209.437,24.896,,0
2025-01-04 14:00:00,0.07563,216.801,23.149,1.5561,0
2025-01-04 15:00:00,0.07213,229.839,22.774,1.5882,0
2025-01-04 16:00:00,0.10135,258.789,22.093,1.7513,0
2025-01-04 17:00:00,0.13169,286.476,20.605,1.9818,0
2025-01-04 18:00:00,0.15732,310.051,19.315,2.2365,0
2025-01-04 19:00:00,0.12337,305.15,16.845,2.0595,0
2025-01-04 20:00:00,0.09746,245.314,15.008,1.702,0
2025-01-04 21:00:00,0.07849,208.67,14.178,1.4527,0
2025-01-04 22:00:00,0.09196,177.637,11.295,1.3489,0
2025-01-04 23:00:00,0.06157,175.116,10.984,1.379,0
2025-01-05 00:00:00,0.08861,176.232,11.101,1.1941,0
2025-01-05 01:00:00,0.09183,175.584,11.696,1.2728,0
2025-01-05 02:00:00,0.08735,183.712,13.972,1.3783,0
2025-01-05 03:00:00,0.08011,194.596,13.359,1.2413,0
2025-01-05 04:00:00,0.09211,201.179,15.234,1.3756,0
2025-01-05 05:00:00,0.09476,216.603,18.694,1.5548,0
2025-01-05 06:00:00,0.09731,240.746,18.261,1.6903,0
2025-01-05 07:00:00,0.14484,298.009,21.126,2.1314,0
2025-01-05 08:00:00,0.12578,305.098,20.568,2.241,0
2025-01-05 09:00:00,0.13194,282.898,22.684,2.1857,0
2025-01-05 10:00:00,0.07762,261.689,22.744,1.7675,0
2025-01-05 11:00:00,0.10804,235.044,24.077,1.6396,0
2025-01-05 12:00:00,0.10308,201.379,25.696,1.6464,0
2025-01-05 13:00:00,0.08385,199.664,22.411,1.6184,0
2025-01-05 14:00:00,0.09216,212.561,24.405,1.6189,0
2025-01-05 15:00:00,0.09943,231.489,23.216,1.5317,0
2025-01-05 16:00:00,0.09893,250.605,20.975,1.872,0
2025-01-05 17:00:00,0.1292,279.489,18.506,2.04,0
2025-01-05 18:00:00,0.1203,305.99,18.775,2.2343,0
2025-01-05 19:00:00,0.11533,277.46,16.5,1.9868,0
2025-01-05 20:00:00,0.12017,246.433,15.967,1.6237,0
2025-01-05 21:00:00,0.10441,202.019,14.472,1.4669,0
2025-01-05 22:00:00,0.07686,185.96,15.414,1.4374,0
2025-01-05 23:00:00,0.07394,186.877,12.605,1.3151,0
2025-01-06 00:00:00,0.07425,180.144,11.631,1.2967,0
2025-01-06 01:00:00,0.09081,187.652,13.279,1.3067,0
2025-01-06 02:00:00,0.07012,180.52,13.927,1.3334,0
2025-01-06 03:00:00,0.08702,185.225,16.248,1.3891,0
2025-01-06 04:00:00,0.0943,205.278,16.862,1.3793,0
2025-01-06 05:00:00,0.09165,206.404,17.735,1.5501,0
2025-01-06 06:00:00,0.11876,260.451,20.616,1.97,0
2025-01-06 07:00:00,0.11898,293.414,18.986,2.0972,0
2025-01-06 08:00:00,0.12743,311.654,21.092,2.2498,0
2025-01-06 09:00:00,0.1109,287.673,21.99,2.1391,0
2025-01-06 10:00:00,0.11885,254.287,23.588,1.8577,0
2025-01-06 11:00:00,0.08353,225.375,23.003,1.5879,0
2025-01-06 12:00:00,0.08965,208.008,25.622,1.5515,0
2025-01-06 13:00:00,0.08263,202.995,24.389,1.4414,0
2025-01-06 14:00:00,0.07282,212.651,22.291,1.4732,0
2025-01-06 15:00:00,0.08541,228.18,21.884,1.5427,0
2025-01-06 16:00:00,0.12324,250.049,22.236,1.8635,0
2025-01-06 17:00:00,0.12505,294.655,21.418,2.1691,0
2025-01-06 18:00:00,0.11789,309.563,21.256,2.2319,0
2025-01-06 19:00:00,0.1263,298.366,20.803,1.9524,0
2025-01-06 20:00:00,0.10489,247.413,16.357,1.8139,0
2025-01-06 21:00:00,0.13416,212.852,13.43,1.4885,0
2025-01-06 22:00:00,0.08876,187.887,11.105,1.2355,0
2025-01-06 23:00:00,0.07818,189.863,13.385,1.3657,0
2025-01-07 00:00:00,0.09904,171.796,12.055,1.159,0
2025-01-07 01:00:00,0.05992,180.248,12.737,1.3649,0
2025-01-07 02:00:00,0.08325,,13.1,1.284,0
2025-01-07 03:00:00,0.10668,185.113,14.619,1.1408,0
2025-01-07 04:00:00,0.08394,200.719,17.31,1.4223,0
